,freq,Vmax,Vpp
0,2.2,608.0,1.18
1,11.0,608.0,1.18
2,113.0,608.0,1.18
3,970.0,608.0,1.18
4,9610.0,608.0,1.18
5,12080.0,608.0,1.18
6,13900.0,608.0,1.18
7,19700.0,608.0,1.18
8,24200.0,608.0,1.18
9,27700.0,608.0,1.18
10,33500.0,608.0,1.18
11,11300.0,608.0,1.18
12,14800.0,608.0,1.18
13,20000.0,608.0,1.18
14,37200.0,608.0,1.18
15,59500.0,608.0,1.18
16,78000.0,600.0,1.17
17,86800.0,592.0,1.15
18,96200.0,584.0,1.13
19,105500.0,568.0,1.11
20,117200.0,544.0,1.06
21,129800.0,528.0,1.02
22,135800.0,512.0,1.0
23,140100.0,504.0,0.984
24,144000.0,496.0,0.976
25,154600.0,480.0,0.936
26,158200.0,464.0,0.912
27,166900.0,448.0,0.88
28,172700.0,440.0,0.864
29,178800.0,432.0,0.84
30,182500.0,424.0,0.832
31,186400.0,416.0,0.816
32,190100.0,408.0,0.8
33,196200.0,400.0,0.784
34,200800.0,384.0,0.76
35,207600.0,376.0,0.744
36,213900.0,368.0,0.72
37,218400.0,360.0,0.704
38,232900.0,336.0,0.656
39,262100.0,296.0,0.584
40,278300.0,280.0,0.552
41,327400.0,240.0,0.472
42,340200.0,232.0,0.456
43,385600.0,200.0,0.384
44,427000.0,184.0,0.352
45,480000.0,160.0,0.304
46,509300.0,152.0,0.288
47,744800.0,96.0,0.168
48,1186900.0,48.0,0.072
49,1555700.0,24.0,0.048
50,1816000.0,8.0,0.032
