Vpp input = 1.00 V
freq. (Hz)	Vpp (mV)
0.0168		2100
0.0360		2100
0.0437		2100
0.0504		2100
0.0549		2100
0.0559		2080
0.0658		2080
0.0708		2080
0.0781		2080
0.0919		2080
0.114		2080
0.158		2080
0.174		2080
0.472		2080
0.481		2080
0.781		2040
0.943		2000
1.06		1960
1.15		1940
1.89		1620
3.70		1280
6.13		1040
7.30		920
9.09		800
11.4		700
13.1		580
15.1		540
16.8		500
20		440
20.8		420
21.7		420
22.2		420
23.2		400
26.3		360
37.0		300
41.7		260
51.0		220
56.8		220
64.9		180
73.5		180
82.0		160
92.6		140
106		140
119		140
128		120
131		104
147		100
151		96
156		96
172		88
178		88
192		84
217		80
250		76
357		64
500		56
555		56
746		48
1000		48
1111		48
1390		48
1670		44
2170		44













